time,seconds_elapsed,bpm
1755571650108000000,-4294436.233,133
1755571651115000000,-4294435.226,133
1755571652122000000,-4294434.2190002445,133
1755571653130000000,-4294433.211000244,133
1755571654137000000,-4294432.204,133
1755571655144000000,-4294431.197,133
1755571656151000000,-4294430.19,133
1755571657159000000,-4294429.182,133
1755571658166000000,-4294428.174999756,132
1755571659173000000,-4294427.168,132
1755571660181000000,-4294426.16,132
1755571661189000000,-4294425.152,133
1755571662196000000,-4294424.145,133
1755571663205000000,-4294423.136,133
1755571664213000000,-4294422.128,134
1755571665220000000,-4294421.121,134
1755571666228000000,-4294420.113,134
1755571667235000000,-4294419.106,134
1755571668243000000,-4294418.098,134
1755571669251000000,-4294417.09,133
1755571670259000000,-4294416.082,133
1755571671266000000,-4294415.075000244,132
1755571672274000000,-4294414.067000244,132
1755571673282000000,-4294413.059000244,131
1755571674289000000,-4294412.052,131
1755571675297000000,-4294411.044,131
1755571676304000000,-4294410.037,130
1755571677311000000,-4294409.03,130
1755571678319000000,-4294408.022,130
1755571679326000000,-4294407.014999756,129
1755571680333000000,-4294406.008,129
1755571681341000000,-4294405,128
1755571682348000000,-4294403.993,128
1755571683356000000,-4294402.985,128
1755571684364000000,-4294401.977,127
1755571685372000000,-4294400.969,127
1755571686380000000,-4294399.961,126
1755571687387000000,-4294398.954,126
1755571688395000000,-4294397.946,125
1755571689403000000,-4294396.938,125
1755571690411000000,-4294395.93,125
1755571692426000000,-4294393.915000244,124
1755571693435000000,-4294392.906,124
1755571694443000000,-4294391.898,124
1755571695451000000,-4294390.89,124
1755571696459000000,-4294389.882,123
1755571699484000000,-4294386.857,122
1755571700492000000,-4294385.849,122
1755571701500000000,-4294384.841,122
1755571702508000000,-4294383.833,121
1755571703516000000,-4294382.825,121
1755571704524000000,-4294381.817,121
1755571705532000000,-4294380.809,121
1755571706540000000,-4294379.801,121
1755571707548000000,-4294378.793,121
1755571708556000000,-4294377.785,120
1755571709564000000,-4294376.777,120
1755571710572000000,-4294375.769,120
1755571711580000000,-4294374.761,120
1755571712587000000,-4294373.754,120
1755571713595000000,-4294372.746,120
1755571714604000000,-4294371.737,120
1755571715611000000,-4294370.73,121
1755571716619000000,-4294369.722,121
1755571717627000000,-4294368.714,121
1755571718635000000,-4294367.706,121
1755571719643000000,-4294366.698,121
1755571720651000000,-4294365.69,121
1755571721659000000,-4294364.682,120
1755571722666000000,-4294363.675000244,120
1755571723674000000,-4294362.667000244,119
1755571724682000000,-4294361.659000244,119
1755571725690000000,-4294360.651000245,119
1755571726698000000,-4294359.643000244,119
1755571727704000000,-4294358.637,118
1755571728712000000,-4294357.629,118
1755571729719000000,-4294356.622,119
1755571730727000000,-4294355.614,119
1755571731734000000,-4294354.606999756,119
1755571732742000000,-4294353.598999755,119
1755571733750000000,-4294352.590999756,119
1755571734757000000,-4294351.584,119
1755571735765000000,-4294350.576,119
1755571736773000000,-4294349.568,119
1755571737781000000,-4294348.56,118
1755571738789000000,-4294347.552,118
1755571739796000000,-4294346.545,118
1755571740804000000,-4294345.537,117
1755571741812000000,-4294344.529,118
1755571742819000000,-4294343.522,118
1755571743827000000,-4294342.514,118
1755571744835000000,-4294341.506,118
1755571745842000000,-4294340.499000244,118
1755571746850000000,-4294339.491000244,119
1755571747858000000,-4294338.483000244,119
1755571748865000000,-4294337.476,120
1755571749873000000,-4294336.468,121
1755571750881000000,-4294335.46,122
1755571751889000000,-4294334.452,122
1755571752896000000,-4294333.445,122
1755571753904000000,-4294332.437,122
1755571754912000000,-4294331.429,122
1755571755920000000,-4294330.421,122
1755571756929000000,-4294329.412,123
1755571757936000000,-4294328.405,123
1755571758944000000,-4294327.397,123
1755571759952000000,-4294326.389,123
1755571760960000000,-4294325.381,124
1755571761968000000,-4294324.373,125
1755571762976000000,-4294323.365,125
1755571763984000000,-4294322.357,126
1755571764992000000,-4294321.349,126
1755571765999000000,-4294320.342,126
1755571767007000000,-4294319.334,126
1755571768015000000,-4294318.326,126
1755571769023000000,-4294317.318,126
1755571770031000000,-4294316.31,126
1755571771039000000,-4294315.302,126
1755571772047000000,-4294314.294,125
1755571773055000000,-4294313.286,125
1755571774064000000,-4294312.277,125
1755571775072000000,-4294311.269,125
1755571776080000000,-4294310.261,125
1755571777088000000,-4294309.253,125
1755571778096000000,-4294308.245,125
1755571779105000000,-4294307.236,125
