time,seconds_elapsed,relativeAltitude,pressure
1759866458609041700,372.26804174804687,-1.9869918823242188,1022.946533203125
1759866458709063200,372.3680632324219,-2.119110107421875,1022.96240234375
1759866458809084400,372.46808447265624,-2.0345535278320312,1022.951904296875
1759866458909105700,372.5681057128906,-2.2248001098632812,1022.974853515625
1759866459009127200,372.6681271972656,-2.1349639892578125,1022.96435546875
1759866459109148700,372.76814868164064,-2.3939056396484375,1022.99560546875
1759866459209170200,372.8681701660156,-2.3939056396484375,1022.995361328125
1759866459309191700,372.9681916503906,-2.35162353515625,1022.990234375
1759866459409213400,373.06821337890625,-2.1930923461914062,1022.970947265625
1759866459509235000,373.16823486328127,-2.3621978759765625,1022.99169921875
1759866459609256400,373.26825634765623,-2.3621978759765625,1022.99169921875
1759866459709278000,373.36827783203125,-2.2934951782226562,1022.983154296875
1759866459809299500,373.4682995605469,-2.0768280029296875,1022.95703125
1759866459909321000,373.5683210449219,-2.0768280029296875,1022.95703125
1759866460009342500,373.66834252929686,-2.219512939453125,1022.97412109375
1759866460109364000,373.7683640136719,-2.2353668212890625,1022.976318359375
1759866460209385500,373.86838549804685,-2.2353668212890625,1022.976318359375
1759866460309407000,373.96840698242187,-2.2459335327148438,1022.9775390625
1759866460409428500,374.0684284667969,-2.2300796508789062,1022.9755859375
1759866460509450000,374.16844995117185,-2.2300796508789062,1022.9755859375
1759866460609471700,374.2684716796875,-2.3357696533203125,1022.98828125
1759866460709492700,374.3684926757812,-2.1666641235351562,1022.9677734375
1759866460809481700,374.46848168945314,-2.1666641235351562,1022.9677734375
1759866460909469700,374.5684697265625,-2.1508102416992188,1022.96630859375
1759866461009457400,374.6684575195313,-2.383331298828125,1022.994140625
1759866461109445600,374.76844555664064,-2.383331298828125,1022.994140625
1759866461209433900,374.8684338378906,-2.3569107055664062,1022.990966796875
1759866461309421800,374.968421875,-2.219512939453125,1022.97412109375
1759866461409410000,375.06841015625,-2.0979690551757812,1022.9599609375
1759866461509398300,375.1683981933594,-2.1930923461914062,1022.970947265625
1759866461609386500,375.2683864746094,-2.3357696533203125,1022.98876953125
1759866461709374700,375.36837475585935,-2.2723617553710938,1022.980712890625
1759866461809363500,375.4683635253906,-2.2406539916992188,1022.97705078125
1759866461909351700,375.5683515625,-2.1825180053710938,1022.97021484375
1759866462009339400,375.66833935546873,-2.1772384643554688,1022.968994140625
1759866462109327400,375.7683273925781,-2.1402435302734375,1022.964599609375
1759866462209315300,375.8683154296875,-2.055694580078125,1022.95458984375
1759866462309303300,375.96830322265623,-1.9658584594726562,1022.94384765625
1759866462409291300,376.0682912597656,-2.0451202392578125,1022.953125
1759866462509279200,376.168279296875,-2.2723617553710938,1022.98095703125
1759866462609267200,376.26826708984373,-2.119110107421875,1022.962158203125
1759866462709255400,376.36825537109377,-2.0821151733398438,1022.9580078125
1759866462809243400,376.46824340820314,-2.1772384643554688,1022.969482421875
1759866462909231400,376.5682314453125,-2.2670745849609375,1022.980224609375
1759866463009219600,376.6682194824219,-2.3410568237304688,1022.9892578125
1759866463109207300,376.76820727539064,-2.4520339965820312,1023.002685546875
1759866463209196000,376.8681960449219,-2.4308929443359375,1022.999755859375
1759866463309184300,376.96818432617187,-2.4256134033203125,1022.99951171875
1759866463409172500,377.06817236328123,-2.4150390625,1022.998291015625
1759866463509160700,377.16816064453127,-2.3040695190429688,1022.98486328125
1759866463609149000,377.26814892578125,-2.2670745849609375,1022.980224609375
1759866463709137200,377.3681372070312,-2.2776412963867188,1022.981689453125
1759866463809124900,377.4681247558594,-2.0186996459960938,1022.949951171875
1759866463909113000,377.56811303710936,-1.9764251708984375,1022.94482421875
1759866464009101300,377.6681013183594,-1.9130096435546875,1022.93701171875
1759866464109089300,377.76808935546876,-1.9130096435546875,1022.93701171875
1759866464209077200,377.8680771484375,-1.9552841186523438,1022.942626953125
1759866464309065200,377.9680651855469,-1.9130096435546875,1022.937255859375
1759866464409053400,378.06805346679687,-1.9130096435546875,1022.937255859375
1759866464509041700,378.1680417480469,-2.1666641235351562,1022.96826171875
